,places,doc_id
658,Aarhus,479
659,Flyvepladsen,480
660,Husvildebarak,481
661,Ringgaarden,484
662,Ringgaarden,485
663,Bøløngsø,487
664,Kragelund Sogn,487
665,Lille Vorstlunde,488
666,"Matr. Nr. 9 e, Vorstlund",488
667,Give Sogn,488
668,Kommunehospitalet,492
669,Marselisborg Gymnasium,493
670,Fjordsgades Skole,493
671,Finsensgades Skole,493
672,Ny Munkegades Skole,493
673,Christiansgades Skole,493
674,Jyllands Allé,495
675,"Fiskergade 38-40 ........................... 5000,00",495
676,"Lollandsg. 20 3100,00 "" Vognmand",495
677,"Toldbodgade 4-6 ......................1400,00""
",495
678,"Skoleg. 19180,00""",495
679,"Vestergade 1 4032,64 "" 
",495
680,H. Brogesgade,495
681,Ryesgade 27.,497
682,Frederikshøj Kro,498
683,Rutebilstationen,499
684,Varna,500
685,Søsportspavillonen,501
686,Østbanen,503
687,København,503
688,København,508
689,Riisvangen,510
690,Løbebanen,510
691,4)Kastegaarden,510
692,Riisvangen,511
693,Bilruten,513
694,Plads-Moes-gaard Strand,513
695,Gadefejningen,516
696,Gaden,516
697,Forvejen,517
698,Skovvangsvej,519
699,Aarhus Kommune,519
700,Aarhus,520
701,Aarhus Teater,523
702,Ringgaarden,527
703,Ringgaarden,528
704,Stautrup,529
705,Stautrup,529
706,Stautrup,530
707,Stautrup,530
708,Stautrup,530
709,Aarhus,531
710,Aarhus,531
711,Risskov,533
712,Risskov Lærlingeplejehjem,533
713,Aarhus Kommune,534
714,Aarhus,534
715,Aarhus,534
716,Aabyhøj,535
717,Risskov,535
718,Aarhus,535
719,Aarhus,535
720,Raadhuset,535
721,Kasernen,536
722,Bygningen,536
723,Flyvepladsen,536
724,Kasernen,536
725,Marselisborg Skole,541
726,Hillerød,541
727,Randers,541
728,København,541
729,Aaboulevardens Nordside,542
730,Vesterallé,542
731,Grønnegade,542
732,Bankens Bygning,543
733,Sønderallé,543
734,Raadhuspladsen,544
735,Sønderallé,544
736,Nybygningen,544
737,Raadhuset,544
738,Raadhuset,544
739,Viby,545
740,Aarhus Kommune,545
741,Boldplads,545
742,Dalgas Avenue,546
743,Laan,550
744,Matr. Nr. 1 a,553
745,Bøllingsø,553
746,Kragelund Sogn,553
747,Marselisborg Skole,555
748,Aarhus Købstad,556
749,Aarhus Kommune,557
750,Byen,558
751,Nølev,559
752,Astrup,559
753,Aarhus Borgerskoler,560
754,Aarhus Museums,561
755,Mønsterkolonien,565
756,Fuglesangsallé,565
757,Aarhus Kommune,566
758,Viby Mosegaard,566
759,Aaby-arealerne,566
760,Møllevangen,566
761,Vorrevang,566
762,Jord,566
763,Møllestien 25-27 (Stæhrs Legatboliger,569
764,Bero,569
765,Aarhus,570
766,Bero,570
767,Ormslev Børnehjem,571
768,Slagtehuset,577
769,Aarhus offentlige,577
770,Aarhus Idrætspark,580
771,Glarmesterarbejde,581
772,"Willemoesgade 23,",588
773,Willemoesgade,588
774,Nordre Ringgade,588
775,Gadens,588
776,Willemoesgade 23 en passende Erstatning,588
777,Aarhus Kommune,589
778,Aarhus,589
779,Vennelystpavillonen,591
780,Vennelyst-Pavillonen,591
781,Skejby Mark,596
782,Bero,596
783,Skejby Mark,596
784,Skejby Mark,596
785,Aarhus,596
786,Bero,596
787,Aarhus Kommune,597
788,Borgerskolen,599
789,Samsøgade,599
790,Aarhus Kommunes,600
791,Hørhaven,602
792,Hørhavegaardens,602
793,Aarhus Kommune,602
794,Hørhavegaarden,602
795,Brændeplads,602
796,Jord,603
797,Aarhus Kæmnerkontor,603
798,Aarhus Museum,604
799,Hørhavens,604
800,Hørhavegaardens,606
801,Gaarden,606
802,Brændeplads,606
803,Aarhus Kæmnerkontor,606
804,Hørhavens,607
805,Faar,607
806,Omnibusruten,609
807,Ebeltoft-Aarhus,609
808,Ebeltoft-Aarhus,609
809,Fragtruterne,610
810,Ebeltoft-Aarhus,610
811,Femmøller-Aarhus,610
812,Marselisborg Skole,611
813,Valbyvej,614
814,Stautrup,616
815,Kæmnerkassen,618
816,Folio,618
817,Vandværket,621
818,Folkebibliotekets,628
819,Statslaan,630
820,Aarhus Købstadkommune,631
821,Skejby Mark,632
822,Skejby Mark,632
823,Bero,632
824,Købstadkommunen,632
825,Købstadkommunens,632
826,Kasernebyggeriet,633
827,Bero,633
828,Aarhus Idrætspark,634
829,Idrætsparken,634
830,Marselisborg Skole,637
831,Klostergaard Sørensen,637
832,Byen,640
833,"Mørksgade 20, og Kontorchef",641
834,Marselis Boulevard,641
835,Rørholm,642
836,6.Aarhus Kommune,644
837,Gasværket,647
838,Gasværket,649
839,Horsens Tvangsarbejdsanstalt,656
840,Viby Sogneraaad,660
841,Viby,660
842,Viby Mosegaard,660
843,Viby,660
844,Viby,661
845,Aaen,661
846,Aarhus,661
847,Byens Vegne,661
848,Aaen,661
849,Banen,661
850,Mosegaardens,661
851,Aarhus Kommune,661
852,Mosegaarden,661
853,Aarhus,662
854,Aarhus,662
855,Viby Rensningsanlæg,662
